"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "vue", "XML", "SCSS", "comment", "blank", "total"
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\mobile.vue", "vue", 0, 0, 0, 67, 0, 0, 1, 3, 71
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\pc.vue", "vue", 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Image\mobile.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 2, 41
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Image\pc.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 2, 44
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Input\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Input\pc.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 4, 2, 58
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\mobile.vue", "vue", 0, 0, 0, 42, 0, 0, 10, 2, 54
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\pc.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 2, 43
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\pc.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 2, 38
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\mobile.vue", "vue", 0, 0, 0, 42, 0, 0, 10, 2, 54
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\pc.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 2, 43
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\mobile.vue", "vue", 0, 0, 0, 39, 0, 0, 0, 3, 42
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\pc.vue", "vue", 0, 0, 0, 30, 0, 0, 0, 2, 32
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Rate\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Rate\pc.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 1, 2, 42
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\mobile.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 3, 82
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\pc.vue", "vue", 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Select\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Select\pc.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 2, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\mobile.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 1, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\mobile.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\pc.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\pc.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Signature\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Signature\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\mobile.vue", "vue", 0, 0, 0, 31, 0, 0, 0, 3, 34
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\pc.vue", "vue", 0, 0, 0, 19, 0, 0, 0, 3, 22
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Stable\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Stable\pc.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 1, 2, 79
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\String\mobile.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 2, 26
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\String\pc.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 2, 3, 66
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Switch\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Switch\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Textarea\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Textarea\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Time\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Time\pc.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 2, 45
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.vue", "vue", 0, 0, 0, 69, 0, 0, 0, 1, 70
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\pc.vue", "vue", 0, 0, 0, 93, 0, 0, 0, 3, 96
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\index.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 10, 2, 115
"d:\share12\three-template-master\src\packages\formEditor\components\Icon.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 2, 34
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\CollapseLayout.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 1, 47
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\ControlInsertionPlugin.ts", "TypeScript", 639, 0, 0, 0, 0, 0, 51, 17, 707
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\DragGable.tsx", "TypeScript JSX", 0, 414, 0, 0, 0, 0, 15, 3, 432
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\DragGableWrap.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 1, 0, 59
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\GridLayout.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 9, 1, 102
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\InlineLayout.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 2, 91
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\SubformLayout.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 3, 1, 153
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\TableLayout.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 1, 106
"d:\share12\three-template-master\src\packages\formEditor\components\Layout\TabsLayout.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 3, 1, 81
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Canves\index.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 4, 3, 97
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\AllsidesComponent.vue", "vue", 0, 0, 0, 81, 0, 0, 0, 1, 82
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\BackgroundComponent.vue", "vue", 0, 0, 0, 295, 0, 0, 1, 2, 298
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\BorderComponent.vue", "vue", 0, 0, 0, 163, 0, 0, 0, 1, 164
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\CheckboxComponent.vue", "vue", 0, 0, 0, 39, 0, 0, 0, 1, 40
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\CollapseComponent.vue", "vue", 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent1.jsx", "JavaScript", 0, 0, 212, 0, 0, 0, 2, 1, 215
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent2.jsx", "JavaScript", 0, 0, 184, 0, 0, 0, 15, 1, 200
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent3.vue", "vue", 0, 0, 0, 91, 0, 0, 0, 1, 92
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 1, 17
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.vue", "vue", 0, 0, 0, 218, 0, 0, 0, 1, 219
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\LimitComponent.vue", "vue", 0, 0, 0, 55, 0, 0, 0, 1, 56
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\LogicComponent.vue", "vue", 0, 0, 0, 299, 0, 0, 0, 2, 301
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\PropsPanel.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 23
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\PropsPanel.vue", "vue", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\SubformDefaultValue.vue", "vue", 0, 0, 0, 121, 0, 0, 0, 1, 122
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\TypeComponent.vue", "vue", 0, 0, 0, 86, 0, 0, 0, 1, 87
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\fConfigPanel.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 9, 1, 86
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\generateFilterdata.js", "JavaScript", 0, 0, 394, 0, 0, 0, 32, 1, 427
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\configPanel.tsx", "TypeScript JSX", 0, 180, 0, 0, 0, 0, 6, 1, 187
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\index.vue", "vue", 0, 0, 0, 185, 0, 0, 0, 2, 187
"d:\share12\three-template-master\src\packages\formEditor\components\Panels\Fields\index.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 12, 2, 120
"d:\share12\three-template-master\src\packages\formEditor\components\Selection\selectElement.tsx", "TypeScript JSX", 0, 477, 0, 0, 0, 0, 9, 3, 489
"d:\share12\three-template-master\src\packages\formEditor\config.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 0, 1, 107
"d:\share12\three-template-master\src\packages\formEditor\defaultProps.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 1, 65
"d:\share12\three-template-master\src\packages\formEditor\fieldFormConfig.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\share12\three-template-master\src\packages\formEditor\formEditor.tsx", "TypeScript JSX", 0, 335, 0, 0, 0, 0, 28, 2, 365
"d:\share12\three-template-master\src\packages\formEditor\formTab.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\share12\three-template-master\src\packages\formEditor\formType.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\share12\three-template-master\src\packages\formEditor\generatorData.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 2, 1, 29
"d:\share12\three-template-master\src\packages\formEditor\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 6, 1, 22
"d:\share12\three-template-master\src\packages\formEditor\locale\en.ts", "TypeScript", 289, 0, 0, 0, 0, 0, 0, 1, 290
"d:\share12\three-template-master\src\packages\formEditor\locale\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 1, 10
"d:\share12\three-template-master\src\packages\formEditor\locale\zh-cn.ts", "TypeScript", 266, 0, 0, 0, 0, 0, 0, 1, 267
"d:\share12\three-template-master\src\packages\formEditor\node.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 2, 1, 138
"d:\share12\three-template-master\src\packages\formEditor\preview.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 11, 4, 229
"d:\share12\three-template-master\src\packages\formEditor\style\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\share12\three-template-master\src\packages\formEditor\testData.ts", "TypeScript", 2398, 0, 0, 0, 0, 0, 865, 12, 3275
"d:\share12\three-template-master\src\packages\formEditor\testData1.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 0, 1, 114
"d:\share12\three-template-master\src\packages\formitem.ts", "TypeScript", 960, 0, 0, 0, 0, 0, 52, 3, 1015
"d:\share12\three-template-master\src\packages\hooks\index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 0, 21
"d:\share12\three-template-master\src\packages\hooks\use-css\index.ts", "TypeScript", 173, 0, 0, 0, 0, 0, 1, 1, 175
"d:\share12\three-template-master\src\packages\hooks\use-fetch\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 2, 1, 33
"d:\share12\three-template-master\src\packages\hooks\use-history\index.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 8, 1, 88
"d:\share12\three-template-master\src\packages\hooks\use-i18n\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 9, 2, 27
"d:\share12\three-template-master\src\packages\hooks\use-logic\index.ts", "TypeScript", 267, 0, 0, 0, 0, 0, 16, 3, 286
"d:\share12\three-template-master\src\packages\hooks\use-namespace\index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 1, 37
"d:\share12\three-template-master\src\packages\hooks\use-props\index.ts", "TypeScript", 384, 0, 0, 0, 0, 0, 13, 5, 402
"d:\share12\three-template-master\src\packages\hooks\use-target\index.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 5, 50
"d:\share12\three-template-master\src\packages\icon\__index.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 3, 35
"d:\share12\three-template-master\src\packages\icon\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 1, 4
"d:\share12\three-template-master\src\packages\icon\index.vue", "vue", 0, 0, 0, 49, 0, 0, 0, 3, 52
"d:\share12\three-template-master\src\packages\icon\svg\ID.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\PC.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\Rank.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowDown.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowDownBold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowLeft.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowLeftBold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowRight.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowRightBold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowUp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\share12\three-template-master\src\packages\icon\svg\arrowUpBold .svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
